Datum;Grupp;Serie;Värde
2009-08-13;Valutor mot svenska kronor;1 GBP;11,845
2009-08-14;Valutor mot svenska kronor;1 GBP;11,7925
2009-08-15;Valutor mot svenska kronor;1 GBP;N/A
2009-08-16;Valutor mot svenska kronor;1 GBP;N/A
2009-08-17;Valutor mot svenska kronor;1 GBP;11,91
2009-08-18;Valutor mot svenska kronor;1 GBP;11,89
2009-08-19;Valutor mot svenska kronor;1 GBP;11,9975
2009-08-20;Valutor mot svenska kronor;1 GBP;11,8775
2009-08-21;Valutor mot svenska kronor;1 GBP;11,7825
2009-08-22;Valutor mot svenska kronor;1 GBP;N/A
2009-08-23;Valutor mot svenska kronor;1 GBP;N/A
2009-08-24;Valutor mot svenska kronor;1 GBP;11,5875
2009-08-25;Valutor mot svenska kronor;1 GBP;11,6075
2009-08-26;Valutor mot svenska kronor;1 GBP;11,49
2009-08-27;Valutor mot svenska kronor;1 GBP;11,555
2009-08-28;Valutor mot svenska kronor;1 GBP;11,5625
2009-08-29;Valutor mot svenska kronor;1 GBP;N/A
2009-08-30;Valutor mot svenska kronor;1 GBP;N/A
2009-08-31;Valutor mot svenska kronor;1 GBP;11,565
2009-09-01;Valutor mot svenska kronor;1 GBP;11,565
2009-09-02;Valutor mot svenska kronor;1 GBP;11,7375
2009-09-03;Valutor mot svenska kronor;1 GBP;11,7675
2009-09-04;Valutor mot svenska kronor;1 GBP;11,7775
2009-09-05;Valutor mot svenska kronor;1 GBP;N/A
2009-09-06;Valutor mot svenska kronor;1 GBP;N/A
2009-09-07;Valutor mot svenska kronor;1 GBP;11,7175
2009-09-08;Valutor mot svenska kronor;1 GBP;11,6475
2009-09-09;Valutor mot svenska kronor;1 GBP;11,635
2009-09-10;Valutor mot svenska kronor;1 GBP;11,5825
2009-09-11;Valutor mot svenska kronor;1 GBP;11,6325
2009-09-12;Valutor mot svenska kronor;1 GBP;N/A
2009-09-13;Valutor mot svenska kronor;1 GBP;N/A
2009-09-14;Valutor mot svenska kronor;1 GBP;11,6825
2009-09-15;Valutor mot svenska kronor;1 GBP;11,6225
2009-09-16;Valutor mot svenska kronor;1 GBP;11,41
2009-09-17;Valutor mot svenska kronor;1 GBP;11,3375
2009-09-18;Valutor mot svenska kronor;1 GBP;11,2775
2009-09-19;Valutor mot svenska kronor;1 GBP;N/A
2009-09-20;Valutor mot svenska kronor;1 GBP;N/A
2009-09-21;Valutor mot svenska kronor;1 GBP;11,1825
2009-09-22;Valutor mot svenska kronor;1 GBP;11,1575
2009-09-23;Valutor mot svenska kronor;1 GBP;11,15
2009-09-24;Valutor mot svenska kronor;1 GBP;11,17
2009-09-25;Valutor mot svenska kronor;1 GBP;11,0775
2009-09-26;Valutor mot svenska kronor;1 GBP;N/A
2009-09-27;Valutor mot svenska kronor;1 GBP;N/A
2009-09-28;Valutor mot svenska kronor;1 GBP;11,12
2009-09-29;Valutor mot svenska kronor;1 GBP;11,12
2009-09-30;Valutor mot svenska kronor;1 GBP;11,26
2009-10-01;Valutor mot svenska kronor;1 GBP;11,125
2009-10-02;Valutor mot svenska kronor;1 GBP;11,2125
2009-10-03;Valutor mot svenska kronor;1 GBP;N/A
2009-10-04;Valutor mot svenska kronor;1 GBP;N/A
2009-10-05;Valutor mot svenska kronor;1 GBP;11,2225
2009-10-06;Valutor mot svenska kronor;1 GBP;11,175
2009-10-07;Valutor mot svenska kronor;1 GBP;11,0875
2009-10-08;Valutor mot svenska kronor;1 GBP;11,1775
2009-10-09;Valutor mot svenska kronor;1 GBP;11,2025
2009-10-10;Valutor mot svenska kronor;1 GBP;N/A
2009-10-11;Valutor mot svenska kronor;1 GBP;N/A
2009-10-12;Valutor mot svenska kronor;1 GBP;11,0875
2009-10-13;Valutor mot svenska kronor;1 GBP;11,0125
2009-10-14;Valutor mot svenska kronor;1 GBP;11,055
2009-10-15;Valutor mot svenska kronor;1 GBP;11,11
2009-10-16;Valutor mot svenska kronor;1 GBP;11,3775
2009-10-17;Valutor mot svenska kronor;1 GBP;N/A
2009-10-18;Valutor mot svenska kronor;1 GBP;N/A
2009-10-19;Valutor mot svenska kronor;1 GBP;11,285
2009-10-20;Valutor mot svenska kronor;1 GBP;11,3325
2009-10-21;Valutor mot svenska kronor;1 GBP;11,43
2009-10-22;Valutor mot svenska kronor;1 GBP;11,4075
2009-10-23;Valutor mot svenska kronor;1 GBP;11,3825
2009-10-24;Valutor mot svenska kronor;1 GBP;N/A
2009-10-25;Valutor mot svenska kronor;1 GBP;N/A
2009-10-26;Valutor mot svenska kronor;1 GBP;11,0325
2009-10-27;Valutor mot svenska kronor;1 GBP;11,2375
2009-10-28;Valutor mot svenska kronor;1 GBP;11,415
2009-10-29;Valutor mot svenska kronor;1 GBP;11,56
2009-10-30;Valutor mot svenska kronor;1 GBP;11,59
2009-10-31;Valutor mot svenska kronor;1 GBP;N/A
2009-11-01;Valutor mot svenska kronor;1 GBP;N/A
2009-11-02;Valutor mot svenska kronor;1 GBP;11,5625
2009-11-03;Valutor mot svenska kronor;1 GBP;11,57
2009-11-04;Valutor mot svenska kronor;1 GBP;11,6575
2009-11-05;Valutor mot svenska kronor;1 GBP;11,6825
2009-11-06;Valutor mot svenska kronor;1 GBP;11,595
2009-11-07;Valutor mot svenska kronor;1 GBP;N/A
2009-11-08;Valutor mot svenska kronor;1 GBP;N/A
2009-11-09;Valutor mot svenska kronor;1 GBP;11,565
2009-11-10;Valutor mot svenska kronor;1 GBP;11,4275
2009-11-11;Valutor mot svenska kronor;1 GBP;11,3925
2009-11-12;Valutor mot svenska kronor;1 GBP;11,275
2009-11-13;Valutor mot svenska kronor;1 GBP;11,445
2009-11-14;Valutor mot svenska kronor;1 GBP;N/A
2009-11-15;Valutor mot svenska kronor;1 GBP;N/A
2009-11-16;Valutor mot svenska kronor;1 GBP;11,3825
2009-11-17;Valutor mot svenska kronor;1 GBP;11,5025
2009-11-18;Valutor mot svenska kronor;1 GBP;11,51
2009-11-19;Valutor mot svenska kronor;1 GBP;11,5125
2009-11-20;Valutor mot svenska kronor;1 GBP;11,4725
2009-11-21;Valutor mot svenska kronor;1 GBP;N/A
2009-11-22;Valutor mot svenska kronor;1 GBP;N/A
2009-11-23;Valutor mot svenska kronor;1 GBP;11,40
2009-11-24;Valutor mot svenska kronor;1 GBP;11,47
2009-11-25;Valutor mot svenska kronor;1 GBP;11,485
2009-11-26;Valutor mot svenska kronor;1 GBP;11,48
2009-11-27;Valutor mot svenska kronor;1 GBP;11,525
2009-11-28;Valutor mot svenska kronor;1 GBP;N/A
2009-11-29;Valutor mot svenska kronor;1 GBP;N/A
2009-11-30;Valutor mot svenska kronor;1 GBP;11,4775
2009-12-01;Valutor mot svenska kronor;1 GBP;11,4475
2009-12-02;Valutor mot svenska kronor;1 GBP;11,4475
2009-12-03;Valutor mot svenska kronor;1 GBP;11,39
2009-12-04;Valutor mot svenska kronor;1 GBP;11,4425
2009-12-05;Valutor mot svenska kronor;1 GBP;N/A
2009-12-06;Valutor mot svenska kronor;1 GBP;N/A
2009-12-07;Valutor mot svenska kronor;1 GBP;11,5075
2009-12-08;Valutor mot svenska kronor;1 GBP;11,5675
2009-12-09;Valutor mot svenska kronor;1 GBP;11,5725
2009-12-10;Valutor mot svenska kronor;1 GBP;11,58
2009-12-11;Valutor mot svenska kronor;1 GBP;11,5475
2009-12-12;Valutor mot svenska kronor;1 GBP;N/A
2009-12-13;Valutor mot svenska kronor;1 GBP;N/A
2009-12-14;Valutor mot svenska kronor;1 GBP;11,5775
2009-12-15;Valutor mot svenska kronor;1 GBP;11,66
2009-12-16;Valutor mot svenska kronor;1 GBP;11,6675
2009-12-17;Valutor mot svenska kronor;1 GBP;11,74
2009-12-18;Valutor mot svenska kronor;1 GBP;11,765
2009-12-19;Valutor mot svenska kronor;1 GBP;N/A
2009-12-20;Valutor mot svenska kronor;1 GBP;N/A
2009-12-21;Valutor mot svenska kronor;1 GBP;11,74
2009-12-22;Valutor mot svenska kronor;1 GBP;11,7025
2009-12-23;Valutor mot svenska kronor;1 GBP;11,7175
2009-12-24;Valutor mot svenska kronor;1 GBP;N/A
2009-12-25;Valutor mot svenska kronor;1 GBP;N/A
2009-12-26;Valutor mot svenska kronor;1 GBP;N/A
2009-12-27;Valutor mot svenska kronor;1 GBP;N/A
2009-12-28;Valutor mot svenska kronor;1 GBP;11,5875
2009-12-29;Valutor mot svenska kronor;1 GBP;11,5425
2009-12-30;Valutor mot svenska kronor;1 GBP;11,485
2009-12-31;Valutor mot svenska kronor;1 GBP;N/A
2010-01-01;Valutor mot svenska kronor;1 GBP;N/A
2010-01-02;Valutor mot svenska kronor;1 GBP;N/A
2010-01-03;Valutor mot svenska kronor;1 GBP;N/A
2010-01-04;Valutor mot svenska kronor;1 GBP;11,5225
2010-01-05;Valutor mot svenska kronor;1 GBP;11,33
2010-01-06;Valutor mot svenska kronor;1 GBP;N/A
2010-01-07;Valutor mot svenska kronor;1 GBP;11,355
2010-01-08;Valutor mot svenska kronor;1 GBP;11,38
2010-01-09;Valutor mot svenska kronor;1 GBP;N/A
2010-01-10;Valutor mot svenska kronor;1 GBP;N/A
2010-01-11;Valutor mot svenska kronor;1 GBP;11,3425
2010-01-12;Valutor mot svenska kronor;1 GBP;11,3275
2010-01-13;Valutor mot svenska kronor;1 GBP;11,45
2010-01-14;Valutor mot svenska kronor;1 GBP;11,4275
2010-01-15;Valutor mot svenska kronor;1 GBP;11,52
2010-01-16;Valutor mot svenska kronor;1 GBP;N/A
2010-01-17;Valutor mot svenska kronor;1 GBP;N/A
2010-01-18;Valutor mot svenska kronor;1 GBP;11,495
2010-01-19;Valutor mot svenska kronor;1 GBP;11,54
2010-01-20;Valutor mot svenska kronor;1 GBP;11,595
2010-01-21;Valutor mot svenska kronor;1 GBP;11,68
2010-01-22;Valutor mot svenska kronor;1 GBP;11,7075
2010-01-23;Valutor mot svenska kronor;1 GBP;N/A
2010-01-24;Valutor mot svenska kronor;1 GBP;N/A
2010-01-25;Valutor mot svenska kronor;1 GBP;11,6775
2010-01-26;Valutor mot svenska kronor;1 GBP;11,8425
2010-01-27;Valutor mot svenska kronor;1 GBP;11,7775
2010-01-28;Valutor mot svenska kronor;1 GBP;11,8325
2010-01-29;Valutor mot svenska kronor;1 GBP;11,85
2010-01-30;Valutor mot svenska kronor;1 GBP;N/A
2010-01-31;Valutor mot svenska kronor;1 GBP;N/A
2010-02-01;Valutor mot svenska kronor;1 GBP;11,70
2010-02-02;Valutor mot svenska kronor;1 GBP;11,615
2010-02-03;Valutor mot svenska kronor;1 GBP;11,5675
2010-02-04;Valutor mot svenska kronor;1 GBP;11,59
2010-02-05;Valutor mot svenska kronor;1 GBP;11,7225
2010-02-06;Valutor mot svenska kronor;1 GBP;N/A
2010-02-07;Valutor mot svenska kronor;1 GBP;N/A
2010-02-08;Valutor mot svenska kronor;1 GBP;11,5575
2010-02-09;Valutor mot svenska kronor;1 GBP;11,535
2010-02-10;Valutor mot svenska kronor;1 GBP;11,4925
2010-02-11;Valutor mot svenska kronor;1 GBP;11,3325
2010-02-12;Valutor mot svenska kronor;1 GBP;11,3825
2010-02-13;Valutor mot svenska kronor;1 GBP;N/A
2010-02-14;Valutor mot svenska kronor;1 GBP;N/A
2010-02-15;Valutor mot svenska kronor;1 GBP;11,38
2010-02-16;Valutor mot svenska kronor;1 GBP;11,3375
2010-02-17;Valutor mot svenska kronor;1 GBP;11,3025
2010-02-18;Valutor mot svenska kronor;1 GBP;11,3175
2010-02-19;Valutor mot svenska kronor;1 GBP;11,2425
2010-02-20;Valutor mot svenska kronor;1 GBP;N/A
2010-02-21;Valutor mot svenska kronor;1 GBP;N/A
2010-02-22;Valutor mot svenska kronor;1 GBP;11,1675
2010-02-23;Valutor mot svenska kronor;1 GBP;11,095
2010-02-24;Valutor mot svenska kronor;1 GBP;11,175
2010-02-25;Valutor mot svenska kronor;1 GBP;11,085
2010-02-26;Valutor mot svenska kronor;1 GBP;10,95
2010-02-27;Valutor mot svenska kronor;1 GBP;N/A
2010-02-28;Valutor mot svenska kronor;1 GBP;N/A
2010-03-01;Valutor mot svenska kronor;1 GBP;10,8825
2010-03-02;Valutor mot svenska kronor;1 GBP;10,765
2010-03-03;Valutor mot svenska kronor;1 GBP;10,815
2010-03-04;Valutor mot svenska kronor;1 GBP;10,7525
2010-03-05;Valutor mot svenska kronor;1 GBP;10,7475
2010-03-06;Valutor mot svenska kronor;1 GBP;N/A
2010-03-07;Valutor mot svenska kronor;1 GBP;N/A
2010-03-08;Valutor mot svenska kronor;1 GBP;10,7625
2010-03-09;Valutor mot svenska kronor;1 GBP;10,715
2010-03-10;Valutor mot svenska kronor;1 GBP;10,6725
2010-03-11;Valutor mot svenska kronor;1 GBP;10,69
2010-03-12;Valutor mot svenska kronor;1 GBP;10,70
2010-03-13;Valutor mot svenska kronor;1 GBP;N/A
2010-03-14;Valutor mot svenska kronor;1 GBP;N/A
2010-03-15;Valutor mot svenska kronor;1 GBP;10,71
2010-03-16;Valutor mot svenska kronor;1 GBP;10,6925
2010-03-17;Valutor mot svenska kronor;1 GBP;10,77
2010-03-18;Valutor mot svenska kronor;1 GBP;10,8575
2010-03-19;Valutor mot svenska kronor;1 GBP;10,7925
2010-03-20;Valutor mot svenska kronor;1 GBP;N/A
2010-03-21;Valutor mot svenska kronor;1 GBP;N/A
2010-03-22;Valutor mot svenska kronor;1 GBP;10,79
2010-03-23;Valutor mot svenska kronor;1 GBP;10,8475
2010-03-24;Valutor mot svenska kronor;1 GBP;10,825
2010-03-25;Valutor mot svenska kronor;1 GBP;10,8275
2010-03-26;Valutor mot svenska kronor;1 GBP;10,755
2010-03-27;Valutor mot svenska kronor;1 GBP;N/A
2010-03-28;Valutor mot svenska kronor;1 GBP;N/A
2010-03-29;Valutor mot svenska kronor;1 GBP;10,86
2010-03-30;Valutor mot svenska kronor;1 GBP;10,8575
2010-03-31;Valutor mot svenska kronor;1 GBP;10,935
2010-04-01;Valutor mot svenska kronor;1 GBP;10,9875
2010-04-02;Valutor mot svenska kronor;1 GBP;N/A
2010-04-03;Valutor mot svenska kronor;1 GBP;N/A
2010-04-04;Valutor mot svenska kronor;1 GBP;N/A
2010-04-05;Valutor mot svenska kronor;1 GBP;N/A
2010-04-06;Valutor mot svenska kronor;1 GBP;10,9325
2010-04-07;Valutor mot svenska kronor;1 GBP;10,99
2010-04-08;Valutor mot svenska kronor;1 GBP;11,055
2010-04-09;Valutor mot svenska kronor;1 GBP;11,055
2010-04-10;Valutor mot svenska kronor;1 GBP;N/A
2010-04-11;Valutor mot svenska kronor;1 GBP;N/A
2010-04-12;Valutor mot svenska kronor;1 GBP;11,05
2010-04-13;Valutor mot svenska kronor;1 GBP;11,035
2010-04-14;Valutor mot svenska kronor;1 GBP;11,01
2010-04-15;Valutor mot svenska kronor;1 GBP;11,04
2010-04-16;Valutor mot svenska kronor;1 GBP;11,0275
2010-04-17;Valutor mot svenska kronor;1 GBP;N/A
2010-04-18;Valutor mot svenska kronor;1 GBP;N/A
2010-04-19;Valutor mot svenska kronor;1 GBP;11,015
2010-04-20;Valutor mot svenska kronor;1 GBP;11,0225
2010-04-21;Valutor mot svenska kronor;1 GBP;11,025
2010-04-22;Valutor mot svenska kronor;1 GBP;11,0925
2010-04-23;Valutor mot svenska kronor;1 GBP;11,1525
2010-04-24;Valutor mot svenska kronor;1 GBP;N/A
2010-04-25;Valutor mot svenska kronor;1 GBP;N/A
2010-04-26;Valutor mot svenska kronor;1 GBP;11,085
2010-04-27;Valutor mot svenska kronor;1 GBP;11,03
2010-04-28;Valutor mot svenska kronor;1 GBP;11,13
2010-04-29;Valutor mot svenska kronor;1 GBP;11,0875
2010-04-30;Valutor mot svenska kronor;1 GBP;11,11
2010-05-01;Valutor mot svenska kronor;1 GBP;N/A
2010-05-02;Valutor mot svenska kronor;1 GBP;N/A
2010-05-03;Valutor mot svenska kronor;1 GBP;11,095
2010-05-04;Valutor mot svenska kronor;1 GBP;11,0725
2010-05-05;Valutor mot svenska kronor;1 GBP;11,2625
2010-05-06;Valutor mot svenska kronor;1 GBP;11,46
2010-05-07;Valutor mot svenska kronor;1 GBP;11,40
2010-05-08;Valutor mot svenska kronor;1 GBP;N/A
2010-05-09;Valutor mot svenska kronor;1 GBP;N/A
2010-05-10;Valutor mot svenska kronor;1 GBP;11,0975
2010-05-11;Valutor mot svenska kronor;1 GBP;11,2075
2010-05-12;Valutor mot svenska kronor;1 GBP;11,365
2010-05-13;Valutor mot svenska kronor;1 GBP;N/A
2010-05-14;Valutor mot svenska kronor;1 GBP;11,0975
2010-05-15;Valutor mot svenska kronor;1 GBP;N/A
2010-05-16;Valutor mot svenska kronor;1 GBP;N/A
2010-05-17;Valutor mot svenska kronor;1 GBP;11,2225
2010-05-18;Valutor mot svenska kronor;1 GBP;11,17
2010-05-19;Valutor mot svenska kronor;1 GBP;11,2575
2010-05-20;Valutor mot svenska kronor;1 GBP;11,21
2010-05-21;Valutor mot svenska kronor;1 GBP;11,34
2010-05-22;Valutor mot svenska kronor;1 GBP;N/A
2010-05-23;Valutor mot svenska kronor;1 GBP;N/A
2010-05-24;Valutor mot svenska kronor;1 GBP;11,34
2010-05-25;Valutor mot svenska kronor;1 GBP;11,455
2010-05-26;Valutor mot svenska kronor;1 GBP;11,4275
2010-05-27;Valutor mot svenska kronor;1 GBP;11,4025
2010-05-28;Valutor mot svenska kronor;1 GBP;11,38
2010-05-29;Valutor mot svenska kronor;1 GBP;N/A
2010-05-30;Valutor mot svenska kronor;1 GBP;N/A
2010-05-31;Valutor mot svenska kronor;1 GBP;11,35
2010-06-01;Valutor mot svenska kronor;1 GBP;11,425
2010-06-02;Valutor mot svenska kronor;1 GBP;11,52
2010-06-03;Valutor mot svenska kronor;1 GBP;11,405
2010-06-04;Valutor mot svenska kronor;1 GBP;11,4275
2010-06-05;Valutor mot svenska kronor;1 GBP;N/A
2010-06-06;Valutor mot svenska kronor;1 GBP;N/A
2010-06-07;Valutor mot svenska kronor;1 GBP;11,6325
2010-06-08;Valutor mot svenska kronor;1 GBP;11,705
2010-06-09;Valutor mot svenska kronor;1 GBP;11,635
2010-06-10;Valutor mot svenska kronor;1 GBP;11,645
2010-06-11;Valutor mot svenska kronor;1 GBP;11,61
2010-06-12;Valutor mot svenska kronor;1 GBP;N/A
2010-06-13;Valutor mot svenska kronor;1 GBP;N/A
2010-06-14;Valutor mot svenska kronor;1 GBP;11,51
2010-06-15;Valutor mot svenska kronor;1 GBP;11,6525
2010-06-16;Valutor mot svenska kronor;1 GBP;11,5025
2010-06-17;Valutor mot svenska kronor;1 GBP;11,5025
2010-06-18;Valutor mot svenska kronor;1 GBP;11,465
2010-06-19;Valutor mot svenska kronor;1 GBP;N/A
2010-06-20;Valutor mot svenska kronor;1 GBP;N/A
2010-06-21;Valutor mot svenska kronor;1 GBP;11,3775
2010-06-22;Valutor mot svenska kronor;1 GBP;11,42
2010-06-23;Valutor mot svenska kronor;1 GBP;11,535
2010-06-24;Valutor mot svenska kronor;1 GBP;11,5625
2010-06-25;Valutor mot svenska kronor;1 GBP;N/A
2010-06-26;Valutor mot svenska kronor;1 GBP;N/A
2010-06-27;Valutor mot svenska kronor;1 GBP;N/A
2010-06-28;Valutor mot svenska kronor;1 GBP;11,6175
2010-06-29;Valutor mot svenska kronor;1 GBP;11,7425
2010-06-30;Valutor mot svenska kronor;1 GBP;11,6975
2010-07-01;Valutor mot svenska kronor;1 GBP;11,6625
2010-07-02;Valutor mot svenska kronor;1 GBP;11,655
2010-07-03;Valutor mot svenska kronor;1 GBP;N/A
2010-07-04;Valutor mot svenska kronor;1 GBP;N/A
2010-07-05;Valutor mot svenska kronor;1 GBP;11,60
2010-07-06;Valutor mot svenska kronor;1 GBP;11,635
2010-07-07;Valutor mot svenska kronor;1 GBP;11,555
2010-07-08;Valutor mot svenska kronor;1 GBP;11,475
2010-07-09;Valutor mot svenska kronor;1 GBP;11,3975
2010-07-10;Valutor mot svenska kronor;1 GBP;N/A
2010-07-11;Valutor mot svenska kronor;1 GBP;N/A
2010-07-12;Valutor mot svenska kronor;1 GBP;11,2725
2010-07-13;Valutor mot svenska kronor;1 GBP;11,2675
2010-07-14;Valutor mot svenska kronor;1 GBP;11,28
2010-07-15;Valutor mot svenska kronor;1 GBP;11,2975
2010-07-16;Valutor mot svenska kronor;1 GBP;11,2825
2010-07-17;Valutor mot svenska kronor;1 GBP;N/A
2010-07-18;Valutor mot svenska kronor;1 GBP;N/A
2010-07-19;Valutor mot svenska kronor;1 GBP;11,285
2010-07-20;Valutor mot svenska kronor;1 GBP;11,1975
2010-07-21;Valutor mot svenska kronor;1 GBP;11,24
2010-07-22;Valutor mot svenska kronor;1 GBP;11,225
2010-07-23;Valutor mot svenska kronor;1 GBP;11,1875
2010-07-24;Valutor mot svenska kronor;1 GBP;N/A
2010-07-25;Valutor mot svenska kronor;1 GBP;N/A
2010-07-26;Valutor mot svenska kronor;1 GBP;11,3325
2010-07-27;Valutor mot svenska kronor;1 GBP;11,275
2010-07-28;Valutor mot svenska kronor;1 GBP;11,3675
2010-07-29;Valutor mot svenska kronor;1 GBP;11,3725
2010-07-30;Valutor mot svenska kronor;1 GBP;11,3025
2010-07-31;Valutor mot svenska kronor;1 GBP;N/A
2010-08-01;Valutor mot svenska kronor;1 GBP;N/A
2010-08-02;Valutor mot svenska kronor;1 GBP;11,325
2010-08-03;Valutor mot svenska kronor;1 GBP;11,315
2010-08-04;Valutor mot svenska kronor;1 GBP;11,3275
2010-08-05;Valutor mot svenska kronor;1 GBP;11,34
2010-08-06;Valutor mot svenska kronor;1 GBP;11,31
2010-08-07;Valutor mot svenska kronor;1 GBP;N/A
2010-08-08;Valutor mot svenska kronor;1 GBP;N/A
2010-08-09;Valutor mot svenska kronor;1 GBP;11,295
2010-08-10;Valutor mot svenska kronor;1 GBP;11,2925
2010-08-11;Valutor mot svenska kronor;1 GBP;11,4625
2010-08-12;Valutor mot svenska kronor;1 GBP;11,5175
2010-08-13;Valutor mot svenska kronor;1 GBP;11,5225
2010-08-14;Valutor mot svenska kronor;1 GBP;N/A
2010-08-15;Valutor mot svenska kronor;1 GBP;N/A
2010-08-16;Valutor mot svenska kronor;1 GBP;11,595
2010-08-17;Valutor mot svenska kronor;1 GBP;11,475
2010-08-18;Valutor mot svenska kronor;1 GBP;11,415
2010-08-19;Valutor mot svenska kronor;1 GBP;11,455
2010-08-20;Valutor mot svenska kronor;1 GBP;11,495
2010-08-21;Valutor mot svenska kronor;1 GBP;N/A
2010-08-22;Valutor mot svenska kronor;1 GBP;N/A
2010-08-23;Valutor mot svenska kronor;1 GBP;11,55
2010-08-24;Valutor mot svenska kronor;1 GBP;11,4675
2010-08-25;Valutor mot svenska kronor;1 GBP;11,52
2010-08-26;Valutor mot svenska kronor;1 GBP;11,50
2010-08-27;Valutor mot svenska kronor;1 GBP;11,46
2010-08-28;Valutor mot svenska kronor;1 GBP;N/A
2010-08-29;Valutor mot svenska kronor;1 GBP;N/A
2010-08-30;Valutor mot svenska kronor;1 GBP;11,47
2010-08-31;Valutor mot svenska kronor;1 GBP;11,455
2010-09-01;Valutor mot svenska kronor;1 GBP;11,3325
2010-09-02;Valutor mot svenska kronor;1 GBP;11,2625
2010-09-03;Valutor mot svenska kronor;1 GBP;11,195
2010-09-04;Valutor mot svenska kronor;1 GBP;N/A
2010-09-05;Valutor mot svenska kronor;1 GBP;N/A
2010-09-06;Valutor mot svenska kronor;1 GBP;11,155
2010-09-07;Valutor mot svenska kronor;1 GBP;11,2125
2010-09-08;Valutor mot svenska kronor;1 GBP;11,295
2010-09-09;Valutor mot svenska kronor;1 GBP;11,25
2010-09-10;Valutor mot svenska kronor;1 GBP;11,19
2010-09-11;Valutor mot svenska kronor;1 GBP;N/A
2010-09-12;Valutor mot svenska kronor;1 GBP;N/A
2010-09-13;Valutor mot svenska kronor;1 GBP;11,08
2010-09-14;Valutor mot svenska kronor;1 GBP;11,0025
2010-09-15;Valutor mot svenska kronor;1 GBP;10,98
2010-09-16;Valutor mot svenska kronor;1 GBP;11,05
2010-09-17;Valutor mot svenska kronor;1 GBP;11,0225
2010-09-18;Valutor mot svenska kronor;1 GBP;N/A
2010-09-19;Valutor mot svenska kronor;1 GBP;N/A
2010-09-20;Valutor mot svenska kronor;1 GBP;11,01
2010-09-21;Valutor mot svenska kronor;1 GBP;10,8525
2010-09-22;Valutor mot svenska kronor;1 GBP;10,7625
2010-09-23;Valutor mot svenska kronor;1 GBP;10,775
2010-09-24;Valutor mot svenska kronor;1 GBP;10,8225
2010-09-25;Valutor mot svenska kronor;1 GBP;N/A
2010-09-26;Valutor mot svenska kronor;1 GBP;N/A
2010-09-27;Valutor mot svenska kronor;1 GBP;10,77
2010-09-28;Valutor mot svenska kronor;1 GBP;10,92
2010-09-29;Valutor mot svenska kronor;1 GBP;10,63
2010-09-30;Valutor mot svenska kronor;1 GBP;10,675
2010-10-01;Valutor mot svenska kronor;1 GBP;10,555
2010-10-02;Valutor mot svenska kronor;1 GBP;N/A
2010-10-03;Valutor mot svenska kronor;1 GBP;N/A
2010-10-04;Valutor mot svenska kronor;1 GBP;10,6225
2010-10-05;Valutor mot svenska kronor;1 GBP;10,68
2010-10-06;Valutor mot svenska kronor;1 GBP;10,5925
2010-10-07;Valutor mot svenska kronor;1 GBP;10,6125
2010-10-08;Valutor mot svenska kronor;1 GBP;10,575
2010-10-09;Valutor mot svenska kronor;1 GBP;N/A
2010-10-10;Valutor mot svenska kronor;1 GBP;N/A
2010-10-11;Valutor mot svenska kronor;1 GBP;10,585
2010-10-12;Valutor mot svenska kronor;1 GBP;10,6275
2010-10-13;Valutor mot svenska kronor;1 GBP;10,5175
2010-10-14;Valutor mot svenska kronor;1 GBP;10,485
2010-10-15;Valutor mot svenska kronor;1 GBP;10,5175
2010-10-16;Valutor mot svenska kronor;1 GBP;N/A
2010-10-17;Valutor mot svenska kronor;1 GBP;N/A
2010-10-18;Valutor mot svenska kronor;1 GBP;10,6125
2010-10-19;Valutor mot svenska kronor;1 GBP;10,5875
2010-10-20;Valutor mot svenska kronor;1 GBP;10,6375
2010-10-21;Valutor mot svenska kronor;1 GBP;10,4975
2010-10-22;Valutor mot svenska kronor;1 GBP;10,475
2010-10-23;Valutor mot svenska kronor;1 GBP;N/A
2010-10-24;Valutor mot svenska kronor;1 GBP;N/A
2010-10-25;Valutor mot svenska kronor;1 GBP;10,3125
2010-10-26;Valutor mot svenska kronor;1 GBP;10,455
2010-10-27;Valutor mot svenska kronor;1 GBP;10,69
2010-10-28;Valutor mot svenska kronor;1 GBP;10,63
2010-10-29;Valutor mot svenska kronor;1 GBP;10,78
2010-10-30;Valutor mot svenska kronor;1 GBP;N/A
2010-10-31;Valutor mot svenska kronor;1 GBP;N/A
2010-11-01;Valutor mot svenska kronor;1 GBP;10,665
2010-11-02;Valutor mot svenska kronor;1 GBP;10,6825
2010-11-03;Valutor mot svenska kronor;1 GBP;10,67
2010-11-04;Valutor mot svenska kronor;1 GBP;10,58
2010-11-05;Valutor mot svenska kronor;1 GBP;10,59
2010-11-06;Valutor mot svenska kronor;1 GBP;N/A
2010-11-07;Valutor mot svenska kronor;1 GBP;N/A
2010-11-08;Valutor mot svenska kronor;1 GBP;10,7375
2010-11-09;Valutor mot svenska kronor;1 GBP;10,8775
2010-11-10;Valutor mot svenska kronor;1 GBP;10,79
2010-11-11;Valutor mot svenska kronor;1 GBP;10,9025
2010-11-12;Valutor mot svenska kronor;1 GBP;11,05
2010-11-13;Valutor mot svenska kronor;1 GBP;N/A
2010-11-14;Valutor mot svenska kronor;1 GBP;N/A
2010-11-15;Valutor mot svenska kronor;1 GBP;11,085
