Datum;Grupp;Serie;Värde
2000-08-01;Valutor mot svenska kronor;1 CAD;6,17
2000-08-02;Valutor mot svenska kronor;1 CAD;6,225
2000-08-03;Valutor mot svenska kronor;1 CAD;6,2475
2000-08-04;Valutor mot svenska kronor;1 CAD;6,26
2000-08-05;Valutor mot svenska kronor;1 CAD;N/A
2000-08-06;Valutor mot svenska kronor;1 CAD;N/A
2000-08-07;Valutor mot svenska kronor;1 CAD;6,2125
2000-08-08;Valutor mot svenska kronor;1 CAD;6,21
2000-08-09;Valutor mot svenska kronor;1 CAD;6,2225
2000-08-10;Valutor mot svenska kronor;1 CAD;6,21
2000-08-11;Valutor mot svenska kronor;1 CAD;6,2025
2000-08-12;Valutor mot svenska kronor;1 CAD;N/A
2000-08-13;Valutor mot svenska kronor;1 CAD;N/A
2000-08-14;Valutor mot svenska kronor;1 CAD;6,2325
2000-08-15;Valutor mot svenska kronor;1 CAD;6,1675
2000-08-16;Valutor mot svenska kronor;1 CAD;6,185
2000-08-17;Valutor mot svenska kronor;1 CAD;6,24
2000-08-18;Valutor mot svenska kronor;1 CAD;6,235
2000-08-19;Valutor mot svenska kronor;1 CAD;N/A
2000-08-20;Valutor mot svenska kronor;1 CAD;N/A
2000-08-21;Valutor mot svenska kronor;1 CAD;6,30
2000-08-22;Valutor mot svenska kronor;1 CAD;6,3075
2000-08-23;Valutor mot svenska kronor;1 CAD;6,3375
2000-08-24;Valutor mot svenska kronor;1 CAD;6,2575
2000-08-25;Valutor mot svenska kronor;1 CAD;6,2525
2000-08-26;Valutor mot svenska kronor;1 CAD;N/A
2000-08-27;Valutor mot svenska kronor;1 CAD;N/A
2000-08-28;Valutor mot svenska kronor;1 CAD;6,2775
2000-08-29;Valutor mot svenska kronor;1 CAD;6,3225
2000-08-30;Valutor mot svenska kronor;1 CAD;6,37
2000-08-31;Valutor mot svenska kronor;1 CAD;6,395
2000-09-01;Valutor mot svenska kronor;1 CAD;6,385
2000-09-02;Valutor mot svenska kronor;1 CAD;N/A
2000-09-03;Valutor mot svenska kronor;1 CAD;N/A
2000-09-04;Valutor mot svenska kronor;1 CAD;6,32
2000-09-05;Valutor mot svenska kronor;1 CAD;6,3425
2000-09-06;Valutor mot svenska kronor;1 CAD;6,4325
2000-09-07;Valutor mot svenska kronor;1 CAD;6,51
2000-09-08;Valutor mot svenska kronor;1 CAD;6,4775
